strategy,measure_sec,entry_idx,min_range,total_pnl,trades,win_rate,profit_factor,sharpe,max_drawdown,avg_outcome
confirmation,90,150,0.0003,1440872.6953906373,4567,0.6676155025180643,1.9472969051295546,51.050086147461606,-0.10165478794934069,0.6676155025180643
chop_only,90,150,0.0003,1440872.6953906373,4567,0.6676155025180643,1.9472969051295546,51.050086147461606,-0.10165478794934069,0.6676155025180643
chop_only,90,180,0.0003,1438862.3194709525,4567,0.6676155025180643,1.9459751902459597,51.0281304637328,-0.1016523361406445,0.6676155025180643
confirmation,90,180,0.0003,1438862.3194709525,4567,0.6676155025180643,1.9459751902459597,51.0281304637328,-0.1016523361406445,0.6676155025180643
confirmation,90,210,0.0003,1436681.7178664785,4567,0.6676155025180643,1.9445415610586991,51.00929652191695,-0.10167472509950881,0.6676155025180643
chop_only,90,210,0.0003,1436681.7178664785,4567,0.6676155025180643,1.9445415610586991,51.00929652191695,-0.10167472509950881,0.6676155025180643
chop_only,120,120,0.0005,1423278.3995077775,3724,0.7013963480128894,2.2773718745133626,54.4847093218397,-0.0939563391698528,0.7013963480128894
confirmation,120,120,0.0005,1423278.3995077775,3724,0.7013963480128894,2.2773718745133626,54.4847093218397,-0.0939563391698528,0.7013963480128894
confirmation,120,150,0.0005,1422149.774955,3724,0.7013963480128894,2.2763589502245503,54.47854029670658,-0.09398375097134504,0.7013963480128894
chop_only,120,150,0.0005,1422149.774955,3724,0.7013963480128894,2.2763589502245503,54.47854029670658,-0.09398375097134504,0.7013963480128894
chop_only,120,180,0.0005,1420397.0974545397,3724,0.7013963480128894,2.2747859473988545,54.46665783806686,-0.09403199269426477,0.7013963480128894
confirmation,120,180,0.0005,1420397.0974545397,3724,0.7013963480128894,2.2747859473988545,54.46665783806686,-0.09403199269426477,0.7013963480128894
